barcode,brand,colors,pattern,occasion,more_attributes,category,style,material,tops_fit,sleeve_type,tops_length,overclothes_closure,blazer_neckline_type,underarm_sleeve_length,neckline_type,sleeve_length,heels_height,overclothes_neckline_type,overclothes_type,waist_type,bottoms_length,skirt_type,skirt_length,bottoms_fit,jumpsuit_length,overclothes-sleeveless_type,poncho_type,slippers-shoe_type,sportswear_type,sweatshirt_type,tank_type,bottoms_type
tensor(51083801030101),Guess,,plain,casual,Not Known,trousers_and_chinos,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,mid-waist,Not Known,Not Known,Not Known,slim-bottoms,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(51108501040101),Terre Bleue,,plain,casual,Not Known,trousers_and_chinos,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,mid-waist,full-length,Not Known,Not Known,slim-bottoms,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,classic-trousers
tensor(50927201030101),BRAX,multicolor,,casual;home-lounge,Not Known,Not Known,casual,Not Known,regular-fit-tops,straight-sleeve,short,Not Known,Not Known,Not Known,crew-neck,long-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(48799601050101),GERRY WEBER EDITION,multicolor,horizontal-stripes,casual;home-lounge,Not Known,Not Known,casual,Not Known,regular-fit-tops,straight-sleeve,short,Not Known,Not Known,Not Known,crew-neck,long-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(43426804040101),Caroline Biss,black,plain,casual,Not Known,trousers_and_chinos,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,mid-waist,full-length,Not Known,Not Known,slim-bottoms,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,classic-trousers
tensor(50441301050101),LeComte,green;multicolor,leaf,casual,Not Known,Not Known,casual,Not Known,regular-fit-tops,straight-sleeve,short,Not Known,Not Known,Not Known,crew-neck,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(50730001040101),Fabienne Chapot,multicolor,,casual,,Not Known,casual,Not Known,regular-fit-tops,straight-sleeve,short,Not Known,Not Known,Not Known,Not Known,long-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(50756601040101),CKS,,plain,casual,Not Known,Not Known,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,mid-waist,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(48040901050101),Gigue,multicolor,floral;leaf,casual;dating,Not Known,dress,feminine,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,a-line,midi,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(46086704040101),Street One,,plain,casual,Not Known,Not Known,casual,cotton,regular-fit-tops,straight-sleeve,short,Not Known,Not Known,Not Known,Not Known,long-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(51338303020101),Her.,,plain,casual;dating,Not Known,skirt,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,high-waist,Not Known,a-line,midi,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(49022301020201),Tommy Hilfiger,,,casual;dating,Not Known,dress,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,a-line,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(48893001110101),Joseph Ribkoff,multicolor,floral;leaf,casual;dating,Not Known,dress,casual,Not Known,Not Known,straight-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,a-line,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(49615901040101),Street One,,,casual;dating,Not Known,dress,feminine,Not Known,Not Known,straight-sleeve,Not Known,Not Known,Not Known,Not Known,v-neck,3-4-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,a-line,midi,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(50424801020101),Tommy Hilfiger,,plain,casual,Not Known,Not Known,casual,cotton,regular-fit-tops,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(50129501020101),Liu Jo White Label,,,casual,Not Known,t-shirt,casual,cotton,regular-fit-tops,Not Known,short,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(50756601040101),CKS,,plain,casual,Not Known,Not Known,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,mid-waist,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(48216301080101),Doris Streich,,,casual,,Not Known,Not Known,Not Known,regular-fit-tops,straight-sleeve,short,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(51265101040101),Caroline Biss,,,casual,Not Known,Not Known,casual,Not Known,regular-fit-tops,straight-sleeve,short,Not Known,Not Known,Not Known,Not Known,long-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(50127401020101),Liu Jo White Label,white,,casual,Not Known,Not Known,casual,Not Known,oversized-tops,dolman-sleeve,Not Known,Not Known,Not Known,Not Known,boat-neck,long-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(49528601080101),Frapp,multicolor,,casual;dating,Not Known,dress,feminine,Not Known,Not Known,straight-sleeve,Not Known,Not Known,Not Known,Not Known,v-neck,3-4-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,a-line,mini,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(48284201020101),Second Female,multicolor,floral;leaf,casual;dating,Not Known,dress,feminine,Not Known,Not Known,straight-sleeve,Not Known,Not Known,Not Known,Not Known,v-neck,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(49968401020101),ONLY,beige,plain,casual,,Not Known,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(43431103050101),Caroline Biss,multicolor,floral;leaf,casual;dating,Not Known,dress,casual,Not Known,Not Known,straight-sleeve,Not Known,Not Known,Not Known,Not Known,v-neck,3-4-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,a-line,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(48088101030101),Pepe Jeans,navy,vertical-stripes,casual;winter,Not Known,sweater,casual,Not Known,oversized-tops,straight-sleeve,short,Not Known,Not Known,Not Known,Not Known,long-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(50128302040101),Liu Jo White Label,green,,casual,Not Known,Not Known,casual,cotton,oversized-tops,straight-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,long-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(49840601030101),Rosemunde,ecru,plain,casual,Not Known,t-shirt,casual,cotton,regular-fit-tops,Not Known,short,Not Known,Not Known,Not Known,round-neck,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(48357401080101),Xandres Gold,,plain,casual,Not Known,trousers_and_chinos,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,high-waist,full-length,Not Known,Not Known,slim-bottoms,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,classic-trousers
tensor(50090805020101),BRAX,,,casual,Not Known,trousers_and_chinos,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,high-waist,full-length,Not Known,Not Known,slim-bottoms,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,classic-trousers
tensor(49827602030101),Scotch & Soda,,,casual,Not Known,Not Known,casual,Not Known,oversized-tops,straight-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,long-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(49022301020201),Tommy Hilfiger,,,casual;dating,Not Known,dress,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,a-line,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(50424801020101),Tommy Hilfiger,,plain,casual,Not Known,Not Known,casual,cotton,regular-fit-tops,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(48130801040101),Liu Jo Denim,,,casual,Not Known,Not Known,casual,Not Known,oversized-tops,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,long-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(51108501040101),Terre Bleue,,plain,casual,Not Known,trousers_and_chinos,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,mid-waist,full-length,Not Known,Not Known,slim-bottoms,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,classic-trousers
tensor(48523101030101),King Louie,multicolor,,casual,Not Known,t-shirt,casual,cotton,regular-fit-tops,Not Known,short,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(51298802050101),Betty Barclay,,plain,casual,Not Known,Not Known,casual,cotton,regular-fit-tops,straight-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,long-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(48352601030101),Xandres,multicolor,,dating,Not Known,dress,feminine,Not Known,Not Known,straight-sleeve,Not Known,Not Known,Not Known,Not Known,v-neck,3-4-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,a-line,midi,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(50768401020101),Guess,,,casual,buttons;cargo,Not Known,casual,Not Known,regular-fit-tops,straight-sleeve,short,buttons-closure,Not Known,long-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(50917902020101),ONLY,black,vertical-stripes,casual;dating,Not Known,dress,Not Known,Not Known,Not Known,straight-sleeve,Not Known,Not Known,Not Known,Not Known,v-neck,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(47923601010101),RAINKISS,multicolor,floral;leaf,casual;dating,Not Known,dress,feminine,Not Known,Not Known,straight-sleeve,Not Known,Not Known,Not Known,Not Known,v-neck,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,a-line,midi,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(47935101020101),ONLY,multicolor,floral,casual;dating,Not Known,dress,feminine,Not Known,Not Known,straight-sleeve,Not Known,Not Known,Not Known,Not Known,v-neck,3-4-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,a-line,midi,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(49840601030101),Rosemunde,ecru,plain,casual,Not Known,t-shirt,casual,cotton,regular-fit-tops,Not Known,short,Not Known,Not Known,Not Known,round-neck,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(49775601050101),GERRY WEBER,multicolor,,casual;dating,Not Known,dress,feminine,Not Known,Not Known,straight-sleeve,Not Known,Not Known,Not Known,Not Known,v-neck,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,a-line,midi,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(50756601040101),CKS,,plain,casual,Not Known,Not Known,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,mid-waist,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(48788501050101),GERRY WEBER,,,casual,Not Known,Not Known,casual,cotton,regular-fit-tops,straight-sleeve,short,Not Known,Not Known,Not Known,Not Known,long-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(50566401050101),Caroline Biss,multicolor,leaf,dating;summer,Not Known,skirt,casual,cotton,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,a-line,midi,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(48128201040101),Liu Jo Denim,multicolor,,casual,Not Known,t-shirt,casual,Not Known,regular-fit-tops,Not Known,short,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(50565901040101),Caroline Biss,green,plain,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(48961301020101),Scotch & Soda,,plain,casual;semi-formal,Not Known,trousers_and_chinos,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,high-waist,full-length,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,classic-trousers
tensor(48801901050101),GERRY WEBER EDITION,navy,vertical-stripes,casual;winter,Not Known,sweater,casual,Not Known,oversized-tops,straight-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(48372601080101),Verpass,multicolor,,casual;dating,Not Known,dress,feminine,Not Known,Not Known,straight-sleeve,Not Known,Not Known,Not Known,Not Known,v-neck,3-4-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,a-line,midi,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(44572004040101),Caroline Biss,,,casual;dating,Not Known,dress,feminine,Not Known,Not Known,straight-sleeve,Not Known,Not Known,Not Known,Not Known,v-neck,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,a-line,midi,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(49039701410101),Yoek,black,plain,casual;semi-formal,Not Known,trousers_and_chinos,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,mid-waist,full-length,Not Known,Not Known,straight-fit-bottoms,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,classic-trousers
tensor(50559403020101),BRAX,navy,,casual,Not Known,jeans,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,mid-waist,full-length,Not Known,Not Known,slim-bottoms,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(50088301100301),Street One,,plain,casual;semi-formal,Not Known,trousers_and_chinos,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,high-waist,full-length,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,classic-trousers
tensor(48882901050101),Mayerline,,plain,casual,Not Known,trousers_and_chinos,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,mid-waist,full-length,Not Known,Not Known,slim-bottoms,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,classic-trousers
tensor(48390602410101),Yoek,,plain,casual,Not Known,Not Known,casual,cotton,Not Known,straight-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,long-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(49925001060101),Joseph Ribkoff,multicolor,floral;leaf,casual;dating,Not Known,dress,feminine,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,v-neck,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,a-line,midi,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(50221201040101),Fabienne Chapot,,plain,casual,Not Known,jeans,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,mid-waist,full-length,Not Known,Not Known,slim-bottoms,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,classic-trousers
tensor(49177701030101),Xandres,,,casual,buttons,jacket,casual,Not Known,regular-fit-tops,straight-sleeve,short,buttons-closure,Not Known,long-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(48387701410101),Yoek,black,,casual,Not Known,Not Known,casual,cotton,regular-fit-tops,straight-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,long-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(48961001020101),Scotch & Soda,multicolor,text-print,casual,Not Known,t-shirt,casual,Not Known,regular-fit-tops,Not Known,short,Not Known,Not Known,Not Known,crew-neck,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(49774001050101),GERRY WEBER,multicolor;white,floral;leaf,casual;dating;summer,Not Known,skirt,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,high-waist,Not Known,a-line,midi,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(48352101020101),Xandres,,,casual,Not Known,t-shirt,casual,Not Known,oversized-tops,Not Known,Not Known,Not Known,Not Known,Not Known,boat-neck,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(49250001030101),King Louie,,,casual,Not Known,Not Known,casual,Not Known,regular-fit-tops,Not Known,short,Not Known,Not Known,Not Known,Not Known,long-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(49843001040101),Nümph,,plain,casual;semi-formal,Not Known,trousers_and_chinos,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,high-waist,full-length,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,classic-trousers
tensor(48800601050101),GERRY WEBER EDITION,multicolor,,casual,Not Known,Not Known,casual,Not Known,regular-fit-tops,straight-sleeve,short,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(50665601040101),Marc Cain,,plain,casual;semi-formal,buttons,Not Known,Not Known,Not Known,regular-fit-tops,straight-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(48689201050101),Joseph Ribkoff,ecru,plain,casual,Not Known,t-shirt,casual,cotton,Not Known,Not Known,short,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(50424001030101),Tommy Hilfiger,white,,casual,Not Known,dress,casual,cotton,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(49349902030101),River Woods,green,,casual,Not Known,Not Known,casual,cotton,regular-fit-tops,straight-sleeve,short,Not Known,Not Known,Not Known,Not Known,long-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(49771601050101),GERRY WEBER EDITION,,,casual;semi-formal,Not Known,trousers_and_chinos,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,high-waist,full-length,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,classic-trousers
tensor(49838001030101),Bloomings,blue;multicolor,leaf,casual,Not Known,t-shirt,casual,cotton,regular-fit-tops,Not Known,short,Not Known,Not Known,Not Known,round-neck,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(49821001040101),Terre Bleue,multicolor,floral;leaf,casual;dating,Not Known,dress,feminine,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,a-line,midi,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(48447402020101),Y.A.S,,plain,casual;dating;nightout,Not Known,trousers_and_chinos,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,high-waist,full-length,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,classic-trousers
